codigo,nombre_producto,tipo_envase,destino,posibles_lineas_produccion
4-03-2391-0654,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-1276,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-1292,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 35° NP,750NI,ECUADOR CRONOCAMPUS,2
4-03-2111-0965,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° ESTUCHE,700NI,CHILE GLOBAL,SEMI
4-03-2111-1249,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,CHILE GLOBAL,2
4-03-2391-0655,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ECUADOR CRONOCAMPUS,2
4-03-2391-0656,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ECUADOR CRONOCAMPUS,4
4-03-2391-1310,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS,750NI,ECUADOR CRONOCAMPUS,SEMI
4-03-2111-0982,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,CHILE SURTIVENTAS,SEMI
4-03-2111-1023,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,CHILE GLOBAL,1
4-03-2111-1049,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,CHILE GLOBAL,1
4-03-2391-0701,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,ECUADOR CRONOCAMPUS,3
4-03-2391-0703,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ECUADOR CRONOCAMPUS,4
4-03-0000-1027,SEMITERMINADO RON VIEJO DE CALDAS ROBLE BLANCO 700 VID 40°,700NI,UNI EXP,2
4-03-0000-1028,SEMITERMINADO RON VIEJO DE CALDAS ROBLE BLANCO 750 VID 40°,750NI,UNI EXP,1
4-03-2452-1037,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2452-1038,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2453-1282,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,ESPAÑA,2
4-03-2453-1281,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,ESPAÑA,2
4-03-2453-1283,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,ESPAÑA,4
4-03-2453-1284,RON VIEJO CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40° NP,700CV-15,ESPAÑA,4
4-01-2453-1287,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,ESPAÑA,2
4-03-2453-1309,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° EST+2 VASOS,700NI,ESPAÑA,2
4-01-2453-1364,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,ESPAÑA,4
4-03-2453-1285,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,ESPAÑA,3
4-03-0000-0970,SEMITERMINADO RON VIEJO DE CALDAS 15 GRE 700 VIDRIO 40°,700CV-15,UNI-EXP,4
4-03-0000-1032,SEMITERMINADO RON VIEJO DE CALDAS 15 GRE 750 VIDRIO 40°,750CV-15,UNI-EXP,4
4-03-2492-0983,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,ESTADOS UNIDOS ROYAL,4
4-03-2491-0751,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ESTADOS UNIDOS MEXCOR,4
4-03-2491-0817,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,2
4-03-2491-0830,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0835,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0837,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS MEXCOR,1
4-03-2491-0858,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1007,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° EST+1 V,750CV-8,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1312,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS,750NI,ESTADOS UNIDOS MEXCOR,SEMI
4-03-2492-0828,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,ESTADOS UNIDOS ROYAL,1
4-03-2492-0834,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40°,1000NI,ESTADOS UNIDOS ROYAL,1
4-03-2492-0836,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40°,1750-AD,ESTADOS UNIDOS ROYAL,4
4-03-2492-0838,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS ROYAL,2
4-03-2492-0857,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,ESTADOS UNIDOS ROYAL,4
4-03-2492-0891,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,ESTADOS UNIDOS ROYAL,2
4-01-3860-1221,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,ITALIA,4
4-03-3860-1222,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP,750CV-15,ITALIA,4
4-03-3860-1223,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,ITALIA,4
4-03-2452-1053,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,ESPAÑA,4
4-03-2452-1054,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,ESPAÑA,4
4-03-2750-1056,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40° ,700CV-15,FRANCIA,4
4-03-2750-1233,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,FRANCIA,4
4-03-5805-1075,RON VIEJO CALDAS 750ML40°N IM ,750NI,PANAMA,1
4-03-5805-1076,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,PANAMA,1
4-03-5805-1077,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,PANAMA,4
4-03-5805-1078,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,PANAMA,4
4-01-5805-1231,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,PANAMA,4
4-03-5805-1245,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-03-5805-1246,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,PANAMA,4
4-03-5805-1244,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-01-5805-1079,AGUARDIENTE CRISTAL TRADICIONAL 750 VIDRIO 30°,750R,PANAMA,1
4-01-5805-1081,AGUARDIENTE CRISTAL SIN AZUCAR AZUL 750 VIDRIO 30° ,750V2,PANAMA,1
4-03-5806-1293,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-03-5806-1294,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,PANAMA,2
4-03-5806-1295,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,PANAMA,4
4-03-5806-1296,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750VIDRIO40° NP,750CV-15,PANAMA,4
4-03-5806-1314,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS ,750NI,PANAMA,2
4-01-5806-1297,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,PANAMA,4
4-01-5806-1362,AGUARDIENTE AMARILLO DE MANZANARES SA 1000 VIDRIO 24°,1000CV-A,PANAMA,3
4-01-5806-1348,AGUARDIENTE AMARILLO DE MANZANARES SA 375 VIDRIO 24°,375CV-A,PANAMA,4
4-01-5806-1361,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,PANAMA,4
4-01-5805-1082,AGUARDIENTE CRISTAL SIN AZUCAR AZUL 375 VIDRIO 30°,375V2,PANAMA,1
4-03-5890-0567,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40°,750CV-8,PERÚ,4
4-03-5890-0576,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,PERÚ,4
4-03-5890-0866,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40°,750NI,PERÚ,1
4-03-6760-0629,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,RUSIA,2
4-03-6760-0630,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,RUSIA,2
4-03-6440-0902,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,REPUBLICA CHECA,2
4-03-6760-0631,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,RUSIA,4
4-07-0000-1031,SEMITERMINADO GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,UNIVERSAL,4
4-07-0777-0992,GINEBRA 700 VIDRIO 37.5°,700GIN,UNIVERSAL,4
4-05-0880-1018,LICOR DE RON VIEJO DE CALDAS ESENCIAL 375 VIDRIO 29°,375NI,SAN ANDRES,3
4-07-0880-1020,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,SAN ANDRES,4
4-07-0777-1047,GIN BOSQUE DE INDIAS 50 SHOT 37.5° 12X10 UND,50P,UNIVERSAL,SHOT
4-07-0000-1034,SEMITERMINADO GIN BOSQUE DE INDIAS 700 VIDRIO 37.5° EXP,700GIN,UNIVERSAL,4
4-03-6070-1073,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,PORTUGAL,2
4-03-6070-1087,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,PORTUGAL,4
4-03-6070-1074,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,PORTUGAL,2
4-03-6760-0632,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,RUSIA,4
4-03-6760-0945,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40°,700NI,RUSIA,2
4-04-0880-0967,CREMA DE RVC CHEERS 700 VIDRIO 15.1°,700CV-8,SAN ANDRES,SEMI
4-04-0777-0921,CREMA DE RON  CHEERS 700 VIDRIO 15.1°,700CV-8,UNIVERSAL,4
4-04-0777-0034,CREMA DE RON  CHEERS 750 VIDRIO 14.8°,750CH,UNIVERSAL,4
4-04-5890-0543,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40°,750NI,PERÚ,2
4-04-5890-0544,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40°,750NI,PERÚ,2
4-05-0777-0887,LICOR DE RVC ESENCIAL 375 VIDRIO 29°,375NI,UNIVERSAL,3
4-05-0777-0888,LICOR DE RVC ESENCIAL 750 VIDRIO 29°,750NI,UNIVERSAL,2
4-05-0777-0889,LICOR DE RVC ESENCIAL 1750 VIDRIO 29°,1750-AD,UNIVERSAL,4
4-05-0777-0993,LICOR DE RON VIEJO DE CALDAS ESENCIAL 750 VIDRIO 29° EST+2 C,750NI,UNIVERSAL,2 
4-05-0777-1046,LICOR DE RON VIEJO DE CALDAS ESENCIAL 1000 TETRAPACK 29°,1000T,UNIVERSAL,TETRA1000
4-05-0777-1248,LICOR DE RON VIEJO DE CALDAS ESENCIAL 250 TETRAPACK 29°,250T,UNIVERSAL,TETRA250
4-06-0180-1270,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZÚCAR 375 VIDRIO 24°,375V2,CAQUETA,1
4-06-0180-0264,AGUARDIENTE EXTRA DE CAQUETÁ TRADICIONAL 375 VIDRIO 29°,375V2,CAQUETA,1
4-06-0180-0265,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZÚCAR 375 VIDRIO 29°,375V2,CAQUETA,1
4-06-0180-0269,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZÚCAR 750 VIDRIO 29°,750V2,CAQUETA,1
4-06-0180-0271,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZÚCAR 1750 VIDRIO 29°,1750-AD,CAQUETA,4
4-06-0777-0438,ALCOHOL PURO 750ML CUPO 90°,750R,UNIVERSAL,2
4-06-0180-1268,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZÚCAR 750 VIDRIO 24°,750V2,CAQUETA,1
4-06-0180-1121,AGUARDIENTE EXTRA DE CAQUETÁ SIN AZUCAR 250 TETRAPAK 29°,250T,CAQUETA,TETRA250
4-08-0777-1083,COCTEL MOJITO 295 RTDS 9°,295LATA,UNIVERSAL,RTDS
4-08-0777-1084,COCTEL CUBA LIBRE 295 RTDS 9°,295LATA,UNIVERSAL,RTDS
4-08-0777-1097,COCTEL GIN TONIC 295 LATA 9°,295LATA,UNIVERSAL,RTDS
4-01-0690-1163,AGUARDIENTE  CRISTAL SIN AZUCAR AZUL 750 VIDRIO 30°,750V2,AUSTRALIA,1
4-01-0690-1164,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,AUSTRALIA,2
4-01-1960-1176,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,COSTA RICA,2
4-01-6760-1166,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,RUSIA,2
4-03-0000-1167,SEMITERMINADO RON VIEJO DE CALDAS 15 AÑOS 750 VIDRIO 35° NP,750CV-15,GENERICO,4
4-03-0690-1159,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,750NI,AUSTRALIA,2
4-03-0690-1160,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40°,700CV-8,AUSTRALIA,4
4-03-0690-1162,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,AUSTRALIA,4
4-03-0880-1175,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VID 35° NP,750CV-15,SAN ANDRES,4
4-03-1960-1105,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,COSTA RICA,2
4-03-1960-1133,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° X6,750CV-8,COSTA RICA,4
4-03-1960-1169,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40°,750NI,COSTA RICA,1
4-03-1960-1171,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VIDRIO 40°,750CV-15,COSTA RICA,4
4-03-1960-1172,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40,750CV-21,COSTA RICA,4
4-03-1960-1174,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST + H,750NI,COSTA RICA,SEMI
4-03-1960-1345,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40° NP,750NI,COSTA RICA,1
4-03-2111-1149,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° EST + H,700NI,CHILE GLOBAL,SEMI
4-03-2492-1152,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+H,750NI,ESTADOS UNIDOS ROYAL,SEMI
4-03-2492-1226,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 750 VID 40° NP,750CV-15,ESTADOS UNIDOS ROYAL,4
4-03-2492-1187,RON VIEJO DE CALDAS ROBLE BLANCO 750 VIDRIO 40° NP,750NI,ESTADOS UNIDOS ROYAL,1
4-03-7670-1128,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° X6,700CV-8,SUIZA,4
4-03-7670-1161,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VIDRIO 40°,700CV-15,SUIZA,4
4-07-1960-1173,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,COSTA RICA,4
4-08-0777-1156,COCTEL DAIQUIRI FRESA 295 LATA 9°,295LATA,UNIVERSAL,RTDS
4-09-0777-1155,LICOR DE CAÑA MOLENDERO SA 700 VIDRIO 24°,700MOL,UNIVERSAL,2
4-09-0777-1307,LICOR DE CAÑA MOLENDERO SA 50 SHOT 24° 12X10 UND,50P,UNIVERSAL,SHOT
4-05-6440-1207,LICOR DE RON VIEJO DE CALDAS ESENCIAL 750 VIDRIO 29°,750NI,REPUBLICA CHECA,2
4-03-6440-1208,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,REPUBLICA CHECA,4
4-03-6440-1064,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° EST+SHAKER,700NI,REPUBLICA CHECA,SEMI
4-03-6440-1209,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° EST + 1 VASO,700CV-8,REPUBLICA CHECA,SEMI
4-07-6440-1205,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5° ,700GIN,REPUBLICA CHECA,4
4-03-5890-1236,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,PERÚ,4
4-03-5890-1278,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,PERÚ,2
4-03-5890-1279,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,PERÚ,SEMI
4-03-5890-1280,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,PERÚ,SEMI
4-05-0880-1019,LICOR DE RON VIEJO DE CALDAS ESENCIAL 750 VIDRIO 29°,750NI,SAN ANDRES,2
4-03-0880-1086,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,SAN ANDRES,4
4-03-2452-1106,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40°,375NI,ESPAÑA,2
4-03-2452-1108,RON VIEJO DE CALDAS 5 AÑOS 375 VIDRIO 40°,375NI,ESPAÑA,1
4-01-0880-1118,AGUARDIENTE AMARILLO DE MANZANARES 750 VIDRIO 24° NP,750CV-A,SAN ANDRES,2
4-08-0880-1115,COCTEL MOJITO 295 LATA 9°,295LATA,SAN ANDRES,RTDS
4-08-0880-1116,COCTEL CUBA LIBRE 295 LATA 9°,295LATA,SAN ANDRES,RTDS
4-08-0880-1117,COCTEL GIN TONIC 295 LATA 9°,295LATA,SAN ANDRES,RTDS
4-01-0880-1354,AGUARDIENTE AMARILLO DE MANZANARES SA 1000 TETRA BRIK 24°,1000T,SAN ANDRES,TETRA1000
4-03-2491-1109,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1220,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,ESTADOS UNIDOS MEXCOR,SEMI
4-03-2491-1227,RON VIEJO DE CALDAS 3 AÑOS 1750 VIDRIO 40° NP,1750-AD,ESTADOS UNIDOS MEXCOR,4
4-03-2491-1253,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,ESTADOS UNIDOS MEXCOR,2
4-03-2491-1254,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,ESTADOS UNIDOS MEXCOR,2
4-03-2491-1262,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,ESTADOS UNIDOS MEXCOR,2
4-03-2491-1277,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40° NP,1000NI,ESTADOS UNIDOS MEXCOR,1
4-03-2111-1111,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,CHILE GLOBAL,4
4-03-2111-1238,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,CHILE GLOBAL,SEMI
4-03-2111-1239,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40° NP,700NI,CHILE GLOBAL,2
4-03-2111-1250,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP,700CV-15,CHILE GLOBAL,4
4-03-2111-1259,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,375NI,CHILE GLOBAL,1
4-03-2111-1261,RON VIEJO DE CALDAS 3 AÑOS 1000 VIDRIO 40° NP,1000NI,CHILE GLOBAL,1
4-03-7670-1122,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,SUIZA,4
4-03-7670-1251,RON VIEJO DE CALDAS ROBLE BLANCO 700 VIDRIO 40° NP,700NI,SUIZA,2
4-03-7670-1252,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,SUIZA,2
4-03-2750-1124,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40°,700NI,FRANCIA,2
4-03-2750-1234,RON VIEJO DE CALDAS 15 GRAN RESERVA ESPECIAL 700 VID 40° NP ,700NI,FRANCIA,2
4-03-2750-1243,RON VIEJO DE CALDAS 3 AÑOS 700 VIDRIO 40° NP,700NI,FRANCIA,SEMI
4-03-2750-1127,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40°,700NI,FRANCIA,2
4-03-2750-1232,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° NP,700NI,FRANCIA,2
4-01-7670-1138,AGUARDIENTE AMARILLO DE MANZANARES SA 750 VIDRIO 24°,750CV-A,SUIZA,2
4-07-7670-1141,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,SUIZA,4
4-01-2452-1142,AGUARDIENTE AMARILLO DE MANZANARES SA 700 VIDRIO 24°,700CV-A,ESPAÑA,2
4-03-2391-1110,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,ECUADOR CRONOCAMPUS,4
4-03-2391-1267,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,ECUADOR CRONOCAMPUS,2
4-01-2391-1324,AGUARDIENTE AMARILLO DE MANZANARES SA 1500 VIDRIO 24°,1500CV-A,ECUADOR CRONOCAMPUS,4
4-03-0777-1148,RON VIEJO DE CALDAS 5 JUAN DE LA CRUZ 750 VIDRIO 35° EST + H,750NI,UNIVERSAL,SEMI
4-03-2452-1153,RON VIEJO DE CALDAS 5 AÑOS 700 VIDRIO 40° EST+H,700NI,ESPAÑA,SEMI
4-07-6760-1168,GIN BOSQUE DE INDIAS 700 VIDRIO 37.5°,700GIN,RUSIA,4
4-03-6760-1165,RON VIEJO DE CALDAS LEON DORMIDO FINALIZADO 750 VIDRIO 40°,750CV-21,RUSIA,4
4-03-0000-1342,SEMITERMINADO RVC LEON DORMIDO DOBLE ROBLE 700 VIDRIO 40°,700CV-21,UNIVERSAL EXP,4
4-03-0000-1351,SEMITERMINADO RVC LEON DORMIDO DOBLE ROBLE 700 VIDRIO 40°EXP,700CV-21,UNIVERSAL,4
4-03-0000-1356,SEMITERMINADO RVC LEON DORMIDO DOBLE ROBLE 700 VIDRIO 40°UNI,700CV-21,UNIVERSAL,4
4-03-0777-1341,RON VIEJO DE CALDAS LEON DORMIDO DOBLE ROBLE 700 VIDRIO 40°,700CV-21,UNIVERSAL,4
4-03-6760-1180,RON VIEJO DE CALDAS 8 AÑOS 700 VIDRIO 40° NP,700CV-8,AUSTRIA,SEMI
4-03-1960-1241,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° NP,750NI,COSTA RICA,2
4-03-1960-1240,RON VIEJO DE CALDAS 3 AÑOS 750 VIDRIO 40° NP,750NI,COSTA RICA,2
4-03-1960-1313,RON VIEJO DE CALDAS 5 AÑOS 750 VIDRIO 40° EST+2 VASOS,750NI,COSTA RICA,2
4-03-1960-1317,RON VIEJO DE CALDAS 8 AÑOS 750 VIDRIO 40° NP,750CV-8,COSTA RICA,SEMI
4-03-1960-1349,RON VIEJO DE CALDAS 5 AÑOS 375 VIDRIO 40° NP,375NI,COSTA RICA,1
4-03-1960-1344,RON VIEJO DE CALDAS 3 AÑOS 375 VIDRIO 40° NP,750NI,COSTA RICA,2